personnage,replique
GUSMAN,"Et la raison encore ? Dis-moi, je te prie, Sganarelle, qui
peut t'inspirer une peur d'un si mauvais augure ? Ton
maître t'a-t-il ouvert son coeur là-dessus, et t'a-t-il dit
qu'il eût pour nous quelque froideur qui l'ait obligé à
partir ?"
SGANARELLE,"Gager : Signifie aussi, Parier ; faire
une gageure sur la vérité de quelque
chose, à condition que la chose
appartiendra à celui qui aura raison.
On it en proverbe : je gagerais ma vie,
ma tête à couper, qui ets la gageure
d'un fou. [F]Non pas ; mais, à vue de pays, je connais à peu près le
train des choses ; et sans qu'il m'ait encore rien dit, je
gagerais presque que l'affaire va là. Je pourrais peut-être
me tromper ; mais enfin, sur de tels sujets, l'expérience
m'a pu donner quelques lumières. 
- 5 -"
GUSMAN,"Feu : Se dit figurément en chose
spirituelles et morales de la vivacité de
l'esprit, de l'ardeur des passions. On dit
aussi d'un homme amoureux qu'il brille
d'un beau feu, qu'il nourrit un feu
discret, un feu caché sous la cendre, un
feu qui le dévore. [F]Quoi ? Ce départ si peu prévu serait une infidélité de Don
Juan ? Il pourrait faire cette injure aux chastes feux de
Done Elvire ?"
SGANARELLE,"Non, c'est qu'il est jeune encore, et qu'il n'a pas le
courage..."
GUSMAN,Un homme de sa qualité ferait une action si lâche ?
SGANARELLE,"Eh oui, sa qualité ! La raison en est belle, et c'est par là
qu'il s'empêcherait des choses."
GUSMAN,Mais les saints nouds du mariage le tiennent engagé.
SGANARELLE,"Eh ! Mon pauvre Gusman, mon ami, tu ne sais pas
encore, crois-moi, quel homme est Don Juan."
GUSMAN,"Je ne sais pas, de vrai, quel homme il peut être, s'il faut
qu'il nous ait fait cette perfidie ; et je ne comprends point
comme après tant d'amour et tant d'impatience
témoignée, tant d'hommages pressants, de voux, de
soupirs et de larmes, tant de lettres passionnées, de
protestations ardentes et de serments réitérés, tant de
transports enfin et tant d'emportements qu'il a fait
paraître, jusqu'à forcer, dans sa passion, l'obstacle sacré
d'un couvent, pour mettre Done Elvire en sa puissance, je
ne comprends pas, dis-je, comme, après tout cela, il
aurait le coeur de pouvoir manquer à sa parole."
SGANARELLE,"Sardanapale : Dernier souverain du
Premier empire d'Assyrie, régna de
797 à 759 avant JC. et vécut dans le
luxe et la mollesse, négligeant le soins
du gouvernement. [B] Voir le tableau
de Delacroix : ""La mort de
Sardanapale"".Épicure (-341 ; -270) : Célèbre
philosophe grec né près d'Athènes. En
morale, il enseignait que le plaisir est
le souverain bien de l'homme et que
tous nos efforts doivent tendre à
l'obtenir ; mais il faisait consister le
plaisir dans les jouissances de l'esprit
et du coeur tout autant que dans celles
des sens. [B]Je n'ai pas grande peine à le comprendre, moi ; et si tu
connaissais le pèlerin, tu trouverais la chose assez facile
pour lui. Je ne dis pas qu'il ait changé de sentiments pour
Done Elvire, je n'en ai point de certitude encore : tu sais
que, par son ordre, je partis avant lui, et depuis son
arrivée il ne m'a point entretenu ; mais, par précaution, je
t'apprends, inter nos, que tu vois en Don Juan, mon
maître, le plus grand scélérat que la terre ait jamais porté,
un enragé, un chien, un diable, un Turc, un hérétique, qui
ne croit ni Ciel, ni Enfer, ni loup-garou, qui passe cette
vie en véritable bête brute, un pourceau d'Épicure, un vrai
Sardanapale, qui ferme l'oreille à toutes les remontrances
[chrétiennes] qu'on lui peut faire, et traite de billevesées
tout ce que nous croyons. Tu me dis qu'il a épousé ta
- 6 -"
